latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,ingestion_timestamp
45.83916,-73.25504,297.89,0.57,0.69,2026-04-07,553,N,VIIRS,n,2.0NRT,270.14,1.87,N,2026-04-07 18:58:53.047434
18.04812,-71.74915,303.15,0.52,0.5,2026-04-07,601,N,VIIRS,n,2.0NRT,290.05,0.62,N,2026-04-07 18:58:53.047434
18.04946,-71.75027,303.52,0.52,0.5,2026-04-07,601,N,VIIRS,n,2.0NRT,290.12,0.67,N,2026-04-07 18:58:53.047434
20.13162,-75.72841,309.4,0.5,0.66,2026-04-07,601,N,VIIRS,n,2.0NRT,286.98,1.37,N,2026-04-07 18:58:53.047434
45.83706,-73.25076,318.87,0.43,0.46,2026-04-07,733,N,VIIRS,n,2.0NRT,270.85,1.66,N,2026-04-07 18:58:53.047434
46.04525,-73.14125,311.22,0.43,0.46,2026-04-07,733,N,VIIRS,n,2.0NRT,271.53,2.39,N,2026-04-07 18:58:53.047434
40.30478,-79.87495,307.66,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,282.17,1.81,N,2026-04-07 18:58:53.047434
40.30577,-79.88012,308.26,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,278.27,1.87,N,2026-04-07 18:58:53.047434
40.39176,-79.85033,325.66,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,277.13,2.9,N,2026-04-07 18:58:53.047434
40.39275,-79.85548,345.23,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,279.59,4.42,N,2026-04-07 18:58:53.047434
40.39375,-79.86065,307.17,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,277.78,4.42,N,2026-04-07 18:58:53.047434
40.39725,-79.85955,302.21,0.45,0.39,2026-04-07,735,N,VIIRS,n,2.0NRT,276.41,0.67,N,2026-04-07 18:58:53.047434
40.80946,-80.07889,299.8,0.44,0.38,2026-04-07,735,N,VIIRS,n,2.0NRT,273.07,0.77,N,2026-04-07 18:58:53.047434
